"Site","BUFF_DIST","LC_class20","LC_class33","LC_class34","LC_class50","LC_class110","LC_class120","LC_class210","LC_class220","LC_class230"
"LU01_27","1750","0.0344827586206897","0","0","0.206896551724138","0","0","0.206896551724138","0.172413793103448","0.379310344827586"
"LU13_18","2000","0","0","0","0","0.0588235294117647","0","0.470588235294118","0.0588235294117647","0.411764705882353"
"LU13_15","2000","0.027027027027027","0","0","0","0.0540540540540541","0","0.297297297297297","0.243243243243243","0.378378378378378"
"LU13_03","2000","0.117647058823529","0","0","0.235294117647059","0.215686274509804","0","0.137254901960784","0.235294117647059","0.0588235294117647"
"LU13_34","2000","0.133333333333333","0","0","0.133333333333333","0.166666666666667","0","0.133333333333333","0.4","0.0333333333333333"
"LU13_57","2000","0.148148148148148","0","0","0.148148148148148","0.296296296296296","0","0.148148148148148","0.185185185185185","0.0740740740740741"
"LU13_16","2000","0","0","0","0","0.0952380952380952","0","0.285714285714286","0.142857142857143","0.476190476190476"
"LU13_21","2000","0","0","0","0.0833333333333333","0.0833333333333333","0","0.416666666666667","0.0833333333333333","0.333333333333333"
"LU13_37","2000","0","0","0","0.12","0.24","0","0.2","0.16","0.28"
"LU13_55","2000","0.0588235294117647","0","0","0.117647058823529","0.176470588235294","0","0.176470588235294","0.235294117647059","0.235294117647059"
"LU13_47","2000","0.0606060606060606","0","0","0.151515151515152","0.0303030303030303","0","0.181818181818182","0.363636363636364","0.212121212121212"
"LU13_51","2000","0.285714285714286","0","0","0.285714285714286","0.142857142857143","0","0.0714285714285714","0.142857142857143","0.0714285714285714"
"LU13_27","2000","0.384615384615385","0","0","0.0769230769230769","0.0769230769230769","0","0.0769230769230769","0.230769230769231","0.153846153846154"
"LU13_05","2000","0.148148148148148","0","0","0.259259259259259","0.0740740740740741","0","0.111111111111111","0.296296296296296","0.111111111111111"
"LU13_26","2000","0.107142857142857","0","0","0.285714285714286","0.214285714285714","0","0.107142857142857","0.142857142857143","0.142857142857143"
"LU13_35","2000","0.027027027027027","0","0","0.0540540540540541","0.189189189189189","0","0.189189189189189","0.297297297297297","0.243243243243243"
"LU13_13","2000","0.0526315789473684","0","0","0.236842105263158","0.236842105263158","0","0.105263157894737","0.157894736842105","0.210526315789474"
"LU13_128","2000","0.0588235294117647","0","0","0.117647058823529","0.294117647058824","0","0.117647058823529","0.176470588235294","0.235294117647059"
"LU13_131","2000","0.04","0","0","0.16","0.24","0","0.14","0.16","0.26"
"LU13_12","2000","0","0","0","0.0769230769230769","0.282051282051282","0","0.179487179487179","0.179487179487179","0.282051282051282"
"LU13_33","2000","0","0","0","0.15","0.2","0","0.15","0.2","0.3"
"LU13_32","2000","0","0","0","0.0869565217391304","0.195652173913043","0","0.195652173913043","0.282608695652174","0.239130434782609"
"LU13_30","2000","0","0","0","0.111111111111111","0.177777777777778","0","0.2","0.311111111111111","0.2"
"LU13_53","2000","0.2","0","0","0.1","0.1","0","0.15","0.25","0.2"
"LU13_22","2000","0.025","0","0.025","0.1","0.025","0","0.275","0.35","0.2"
"LU13_19","2000","0.0689655172413793","0","0.0344827586206897","0.103448275862069","0.0689655172413793","0","0.310344827586207","0.206896551724138","0.206896551724138"
"LU13_45","2000","0.0588235294117647","0","0.0588235294117647","0.176470588235294","0.176470588235294","0","0.294117647058824","0.117647058823529","0.117647058823529"
"LU13_08","2000","0.0769230769230769","0","0","0.384615384615385","0.384615384615385","0","0.153846153846154","0","0"
"LU13_43","2000","0","0","0","0.230769230769231","0.538461538461538","0","0.153846153846154","0.0769230769230769","0"
"LU13_41","2000","0.142857142857143","0","0","0.428571428571429","0.142857142857143","0","0.142857142857143","0.142857142857143","0"
