Site,BUFF_DIST,LC_class20,LC_class32,LC_class33,LC_class34,LC_class50,LC_class110,LC_class120,LC_class210,LC_class220,LC_class230
LU13_57,750,0,0,0,0.049683879,0.05052452,0.107041304,0,0.792750305,0,0
LU13_16,750,0.11123409,0,0,0,0.024590034,0.068777879,0,0.763195433,0.032202565,0
LU13_21,750,0.009001669,0,0.239629075,0.179538151,0.223144076,0.127870198,0,0.220816846,0,0
LU13_37,750,0,0,0,0,0.05515812,0,0,0.94484188,0,0
LU13_55,750,0,0,0,0,0.365109168,0,0,0.634890832,0,0
LU13_47,750,0,0,0,0,0,0.066329695,0,0.933670305,0,0
LU13_51,750,0,0,0,0,0.008846173,0.061153844,0,0.929999983,0,0
LU13_27,750,0,0,0,0,0,0.06785734,0,0.93214266,0,0
LU13_05,750,0,0,0,0,0.016916516,0.113871672,0,0.810994855,0,0.058216957
LU13_26,750,0,0,0,0,0.010010914,0.075815504,0,0.890480501,0.023693082,0
LU13_35,750,0,0,0,0,0.104678152,0,0,0.895321848,0,0
LU13_13,750,0,0,0,0,0.019339011,0.083911763,0,0.878066506,0.01868272,0
LU13_128,750,0,0,0,0,0.111200143,0.102548629,0,0.786251227,0,0
LU13_131,750,0,0,0,0,0.167187028,0.13717109,0,0.695641882,0,0
LU13_12,750,0,0,0,0,0.08412755,0.118087086,0,0.797785364,0,0
LU13_33,750,0,0,0,0,0,0.283362952,0,0.716637048,0,0
LU13_32,750,0,0,0,0,0.14714291,0.245042074,0,0.607815017,0,0
LU13_30,750,0,0,0,0,0.107270918,0.239675518,0,0.653053564,0,0
LU13_53,750,0,0,0,0,0,0.065576202,0,0.934423798,0,0
LU13_22,750,0,0,0,0,0.086190138,0.058315096,0,0.266424838,0.364610954,0.224458975
LU13_19,750,0,0,0,0,0.018137531,0.086254767,0,0.861079547,0.028360258,0.006167896
LU13_45,750,0,0,0,0,0.029916017,0.085310473,0,0.88477351,0,0
LU13_08,750,0,0,0,0,0,0.092879629,0,0.897608602,0,0.009511769
LU13_43,750,0,0,0,0,0.033755327,0.083645552,0,0.882599122,0,0
