"site","radius","holes","activewellsites","roads","verges","railways","mines","industrialsites","otherveg","transmissionlines","abandonedwellsites","pipeline","harvestareas","urbanruralres","cultivation","seismic"
"LU2_17",250,0,0,2.233093442,4.488230185,0,0,0,0,0,0,0,30.4769437,0,0,0
"LU2_17",500,0,0,1.254646384,2.519574663,0,0,0,0,0,0,0,48.34271381,0,0,0.729443807
"LU2_17",750,0,0,0.848657722,1.702012579,0,0,0,0,0,0,0,52.37187024,0,0,0.606418288
"LU2_17",1000,0,0,0.638832474,1.283193164,0,0,0,0,0,0,0,48.86691497,0,0,0.566178223
"LU2_17",1250,0,0,0.511775548,1.077901617,0,0,0,0,0,0,0,45.37305837,0,0,0.629574854
"LU2_17",1500,0,0,0.426533355,0.922787007,0,0,0,0,0,0,0,44.08329001,0,0,0.698862934
"LU2_17",1750,0,0,0.365943854,0.809056293,0,0,0,0,0,0,0,40.35963662,0,0,0.735074855
"LU2_17",2000,0,0,0.320707329,0.720901987,0,0,0,0,0,0,0,36.93030296,0,0,0.824668531
"LU2_17",2250,0,0,0.287684769,0.65210843,0,0,0,0,0,0,0,34.81504092,0,0,0.939941369
"LU2_17",2500,0,0,0.280746293,0.627038652,0,0,0,0,0,0,0,34.00716652,0,0,0.951236632
"LU2_18",250,0,0,1.924864812,3.816688056,0,0,0,0,0,0,0,0,0,0,0
"LU2_18",500,0,0,1.160613546,2.31166097,0,0,0,0,0,0,0,2.598129833,0,0,0.333365207
"LU2_18",750,0,0,0.803421602,1.602184882,0,0,0,0,0,0,0,14.26511879,0,0,0.700051509
"LU2_18",1000,0,0,0.622683926,1.26763619,0,0,0,0,0,0,0,22.83063652,0,0,1.081651295
"LU2_18",1250,0,0,0.593169117,1.161225497,0,0,0,0,0,0,0,23.91272132,0,0,1.117725145
"LU2_18",1500,0,0,0.564245006,1.041646129,0,0,0,0,0,0,0,25.38550647,0,0,1.062323745
"LU2_18",1750,0,0,0.513259534,0.925261235,0,0,0.17511829,0,0,0,0,29.17307236,0,0,0.980425218
"LU2_18",2000,0,0,0.485662907,0.842835567,0,0,0.134073626,0,0,0.011912697,0,32.4360742,0,0,0.926872536
"LU2_18",2250,0.000283419,0,0.44999482,0.762714708,0,0,0.10593394,0,0,0.050255686,0,34.69372466,0,0,0.833904122
"LU2_18",2500,0.010707005,0,0.423865831,0.702911677,0,0,0.085805987,0,0,0.040706866,0,35.21724294,0,0,0.785752207
"LU2_20",250,0,1.978256717,1.979210351,5.965746379,0,0,0,0,0,0,0,39.50806923,0,0,1.494168061
"LU2_20",500,0,0.686967797,1.194293123,3.581875776,0,0,0,0,0,0,0.214622647,51.47458028,0,0,1.009245257
