site,black_bear,coyote,fisher,moose,snowshoe_hare,white-tailed_deer,cougar,grey_wolf,lynx,red_fox,wolverine,caribou,absent_black_bear,absent_coyote,absent_fisher,absent_moose,absent_snowshoe_hare,absent_white-tailed_deer,absent_cougar,absent_grey_wolf,absent_lynx,absent_red_fox,absent_wolverine
LU13_03,6,5,0,4,0,3,0,0,0,0,0,0,3,-5,0,-4,0,-3,0,0,0,0,0
LU13_05,2,0,0,5,0,4,0,0,0,0,0,0,7,0,0,-5,0,-4,0,0,0,0,0
LU13_06,1,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,-1,0,0,0,0,0,0
LU13_08,4,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,-1,0,0,-1,0,0,0
LU13_11,1,4,0,0,8,0,0,0,2,0,0,0,8,-4,0,0,-8,0,0,0,-2,0,0
LU13_12,2,1,0,3,2,2,0,0,1,0,0,0,7,-1,0,-3,-2,-2,0,0,-1,0,0
LU13_128,4,4,0,4,6,2,0,7,5,0,0,0,5,-4,0,-4,-6,-2,0,-7,-5,0,0
LU13_13,5,2,1,3,3,4,0,2,2,0,1,0,4,-2,-1,-3,-3,-4,0,-2,-2,0,-1
LU13_131,5,1,0,4,7,2,0,1,7,0,3,0,4,-1,0,-4,-7,-2,0,-1,-7,0,-3
LU13_14,3,3,0,3,4,3,0,0,1,0,0,0,6,-3,0,-3,-4,-3,0,0,-1,0,0
LU13_15,4,8,0,0,9,5,0,3,1,0,0,0,5,-8,0,0,-9,-5,0,-3,-1,0,0
LU13_16,3,7,0,1,3,3,0,0,4,0,0,0,6,-7,0,-1,-3,-3,0,0,-4,0,0
